LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TARGET_DEFAULT
180320,1,3,1,44,-2,-2,-2,-2,-2,-2,297,11565,-41,-1206,-883,15267,370,3190,7701,659,170,57,0
10000,1,3,2,40,0,0,0,0,0,0,10840,10761,269,1451,10629,13694,6481,0,112,3781,1203,124,0
134822,1,1,2,23,-1,-1,-1,-1,7,-1,75,2325,-1353,762,1024,1728,0,408,0,1621,1546,0,0
10000,2,3,2,47,0,0,0,0,0,0,11818,11485,16779,17621,4354,12419,1616,6775,6588,677,169,949,0
74762,1,3,2,28,0,0,0,0,0,0,124576,160110,117717,44070,56818,74824,4361,838,714,4484,292,5863,0
71735,2,3,1,56,0,0,0,0,0,0,17416,17460,2042,1559,13395,468,4301,1233,713,6814,4092,2833,0
172042,2,3,1,49,2,2,0,3,4,4,46321,305795,108292,103807,2031,234,2551,78,0,70,198,491,0
46164,1,3,1,39,2,2,0,0,-2,7,875,941,105,1738,1525,2121,0,0,0,66,1292,471,1
43639,1,2,1,30,0,-1,0,0,0,0,31267,18303,77890,38356,6410,41177,3069,6187,1271,2520,29478,7585,0
10000,1,3,2,22,1,3,4,6,2,7,-180,1323,334,-210,1016,600,0,0,0,52,856,208,1
50101,1,3,2,52,2,5,4,5,4,3,28881,63045,46613,13066,32223,42539,818,132,0,1684,1358,474,0
44992,1,2,2,37,1,2,7,7,7,7,1368,4542,3337,3833,3485,3776,0,1201,0,0,712,0,1
200519,2,1,1,32,0,0,0,0,0,2,192033,266723,12728,138403,266207,21433,5258,70760,6813,33,13010,487,0
43602,2,2,1,35,2,2,0,2,2,0,51665,40714,1389,52297,15952,39197,226,0,0,3400,5308,731,0
183143,2,3,2,36,1,2,0,-2,0,-1,-1053,1236,174,-386,777,1847,361,0,37556,619,242,2027,0
50322,2,1,2,48,1,4,3,3,2,2,52445,41234,70875,28819,83287,62352,1516,0,6280,1301,1146,2963,0
224243,1,1,1,37,7,-2,0,6,-2,0,283544,101744,55818,11615,288090,25975,4593,6099,119355,31486,3540,2082,1
48556,2,2,2,37,2,0,0,0,0,0,32361,10281,33552,9727,27417,22018,4637,955,7441,1634,4415,2470,0
292851,1,1,2,43,-2,-2,-2,-2,-2,-2,-1516,2264,-149,-553,1193,-1248,0,0,1135,0,0,365,0
183466,2,2,1,41,2,0,0,0,0,5,2715,8249,1087,20412,16508,1055,2499,0,2285,468,1340,33596,1
197924,2,1,2,25,0,0,0,0,0,0,105256,12292,14102,9523,107121,171512,7526,0,15597,40088,8455,634,0
45974,2,3,2,59,0,0,0,0,0,0,17794,62763,43404,5307,31094,14848,4656,44,2546,2649,534,1759,0
46561,2,2,1,24,0,2,0,0,0,0,46132,63786,39060,18932,29460,36223,1656,555,875,2390,1050,1836,1
145353,1,3,0,52,0,-1,-1,0,0,-1,2375,1599,1031,14420,13159,-715,1317,360,1091,1903,0,2739,0
189219,1,1,1,43,-1,-1,-1,-1,-1,-1,8526,10675,195,807,11193,13205,606,722,2745,1593,1565,1960,0
44404,2,3,2,21,3,2,0,0,0,0,58833,32783,38169,20271,34655,1019,910,65,297,725,3345,2895,1
16453,2,2,2,23,1,4,3,3,2,2,26724,38676,35615,18365,27133,35488,0,115,0,0,932,1463,1
42550,2,1,1,41,-2,-2,-2,-2,-2,-2,-1559,904,-84,-1511,-765,-934,0,132,0,172,235,514,0
382856,1,2,2,39,-1,-1,-1,-1,-1,-1,76,87,5520,12625,23101,1982,4185,5785,15104,2629,1533,2293,1
45553,1,2,2,45,4,2,2,3,2,2,14357,39580,28899,56748,43115,51954,0,800,0,2068,842,1848,0
192430,2,2,2,40,2,0,0,4,0,-2,903,1848,-2580,127,-193,-117,1926,0,0,62,42,188,1
19952,1,3,1,27,8,7,6,5,4,3,54532,49370,27774,23565,4158,-1001,0,0,0,0,2251,1462,1
91064,2,3,2,55,0,0,0,0,0,0,64152,48356,78268,61507,69748,53209,0,109,1736,1638,1045,2778,0
355491,2,1,1,36,-2,-2,-2,-2,-2,-2,9847,3100,303,-1725,-860,-457,3208,573,0,193,107,2792,0
191031,1,2,2,32,0,0,0,0,3,0,158627,312789,220776,182666,114368,185348,6666,8960,6197,4448,9098,38834,0
44377,1,3,2,23,1,2,5,7,7,6,3170,2669,1122,-559,1754,618,0,130,1302,1182,0,1674,0
45472,1,3,3,32,0,0,0,0,0,0,14106,20183,12822,-42,-612,19741,4986,546,0,3131,0,2024,0
22650,1,1,3,53,0,0,0,0,0,0,11330,9276,1020,4179,5952,9,738,0,4180,2042,1421,2894,0
139649,1,3,2,44,0,0,0,0,0,0,41191,49757,40969,-142,115,22697,2644,2122,228,808,1076,3151,0
10000,1,3,2,24,0,0,0,0,3,0,8652,10727,8450,-1329,5295,85,7571,587,2869,19,125,284,0
39583,2,3,1,28,1,2,2,2,2,2,38441,40064,15286,17787,19286,20928,0,191,4788,215,1238,24,1
25139,1,2,3,39,0,4,2,0,0,0,8774,17171,10026,21346,11873,9411,3721,1131,2182,231,299,166,0
491620,1,3,1,39,0,0,0,0,0,0,78,9936,10299,20042,14118,13960,389,1742,3539,351,16709,12007,1
457277,1,1,2,44,1,-1,-1,2,2,0,7549,11039,7411,28609,-4062,18744,7085,6360,7620,10512,10622,6549,0
62862,1,2,2,28,1,2,2,-1,7,6,1787,1672,166,280,2240,427,0,300,1188,2330,0,1659,0
45934,2,5,2,23,0,0,0,0,0,0,13092,81430,32342,-443,15784,46381,1433,0,3518,1785,2801,233,0
133434,1,2,0,51,1,-1,0,2,2,-1,43102,33369,37392,41005,38038,47044,54,7004,0,2413,523,1532,0
16437,1,3,1,40,8,7,6,3,4,3,47221,47402,125856,120573,22766,204820,706,0,1967,0,0,540,0
154478,2,2,2,48,1,2,2,2,2,0,36980,46368,26330,52646,11549,54485,4019,590,2070,1313,1295,5253,1
469315,1,3,1,27,0,3,2,2,2,0,3506,17197,39242,37126,22223,31406,3904,5018,6105,11564,1669,248,0
157442,2,3,2,27,0,0,0,0,0,0,55588,85686,35852,9183,38241,21802,5688,599,2921,1535,954,1180,0
192740,1,2,1,40,2,2,2,2,0,-1,325141,236861,247077,1118,251585,19030,52853,2431,5860,5179,4036,7047,1
410231,2,1,1,38,-1,-1,-1,-1,-1,-1,125,2163,-485,-888,-110,-945,0,560,875,1153,1203,2103,0
47489,1,2,1,37,2,2,2,0,0,0,33278,51543,35564,43812,28985,15060,163,710,769,1248,1220,1490,0
177526,1,1,1,33,-1,3,0,2,2,0,14659,13581,-2547,23721,10025,10637,11613,4793,5779,62598,7726,6211,0
172141,2,5,2,49,0,0,0,0,0,0,45466,62553,75027,39344,66427,61910,2757,3101,3232,1008,827,2140,0
46580,2,3,2,48,0,0,2,0,0,2,30457,36210,48016,16767,20537,51992,372,0,73,1145,822,2518,0
414395,2,5,2,47,0,0,0,0,0,0,197817,108002,132095,48520,11297,204373,547,3829,3823,1892,2401,22495,0
46636,2,3,2,35,0,0,0,0,0,0,32479,78796,30501,80627,66126,81835,2966,476,2800,2187,264,2832,0
51522,1,3,1,34,0,2,2,0,0,0,23539,20992,12045,6426,4947,514,2009,979,720,109,239,364,0
53847,2,3,1,46,-1,-1,-1,-1,-1,-1,-454,1665,901,-230,-564,726,0,1184,126,0,118,160376,1
42296,1,2,2,35,0,0,0,0,0,0,76762,45854,31633,6616,13194,47020,2677,663,1065,998,3309,1718,0
40662,1,2,0,53,0,2,0,-1,-1,-1,16445,14532,7685,-412,14944,12771,0,1314,0,3093,963,5216,1
50355,2,2,1,24,2,2,2,3,2,2,42290,37417,41631,19530,41471,65516,164,2273,0,0,1623,1528,1
180673,1,1,2,31,-2,-2,-2,-2,-2,-2,-2994,5741,-2171,6341,436,8465,615,840,6164,62,0,721,0
46327,1,3,2,37,-1,-1,-1,-1,-1,-1,-437,-1086,-667,-1544,10,1536,2439,0,0,510,1104,3021,0
293373,1,3,1,40,0,0,0,0,0,0,143061,186433,113940,270617,230767,218740,10122,5046,341,27219,317,29717,0
